filename,year,date,announcement,page,paragraph_id,text,fiscal_risk_score,risk_index
Comunicado-012024-RiesgosFiscales-v4-1.pdf,2024.0,2024-02-01,,1,3,"El CF considera que incumplir la regla fiscal genera un problema de credibilidad de la política fiscal, elemento esencial para atraer la inversión privada y favorecer la estabilidad macroeconómica. Para que la credibilidad de la política fiscal no se vea afectada, es necesario que las autoridades económicas establezcan, en el menor plazo posible, las medidas correctivas necesarias para asegurar la senda de cumplimiento de las metas fiscales en 2024 y en los años sucesivos. Para el CF, estas medidas deberían estar orientadas a incrementar los ingresos -en particular los permanentes-, controlar el crecimiento del gasto público -especialmente el gasto menos flexible- y reducir la exposición de las finanzas públicas a riesgos fiscales.",4,0.8
Comunicado-012024-RiesgosFiscales-v4-1.pdf,2024.0,2024-02-01,,1,4,"No obstante, el CF observa que las últimas medidas dictaminadas, tanto por el Poder Ejecutivo como por el Legislativo, van en dirección contraria, generando presiones a una menor recaudación tributaria, a un mayor gasto público y a nuevos riesgos fiscales, lo que complica aún más el cumplimiento de una senda sostenible, ya de por sí desafiante.",4,0.8
Comunicado-012024-RiesgosFiscales-v4-1.pdf,2024.0,2024-02-01,,1,5,"En el caso de las medidas tributarias, el CF observa que la Ley N 31969 que tiene por objetivo brindar una serie de beneficios tributarios a un conjunto de sectores económicos, afecta negativamente a la recaudación fiscal y se contrapone con los lineamientos de política tributaria expresados en el MMM 2024-2027. Estos lineamientos establecen que los beneficios tributarios deben racionalizarse pues generan menor recaudación fiscal e incrementan las posibilidades de elusión y evasión tributaria. Adicionalmente, a juicio del CF, los beneficios tributarios generados bajo la Ley N 31969 no cuentan con sustento técnico preciso, generan precedentes para brindar",4,0.8
Comunicado-012024-RiesgosFiscales-v4-1.pdf,2024.0,2024-02-01,,2,9,"Un ejemplo de las presiones antes mencionadas lo constituye la Ley N 31729, Ley que actualiza el Bono de Reconocimiento a los aportantes y ex-aportantes de la ONP, que fue aprobada por insistencia. Esta norma, sobre la cual el Poder Ejecutivo ha presentado una demanda de inconstitucionalidad, tendría, de acuerdo con la propia demanda, un costo fiscal de aproximadamente 4 puntos porcentuales del PBI. Ante ello el CF observa que la aplicación de la ley generaría mayores presiones fiscales sobre el Tesoro Público, por la reducción en los aportes del SNP y el incremento de la deuda derivada de los bonos de reconocimiento que se emitan.",4,0.8
Comunicado-012024-RiesgosFiscales-v4-1.pdf,2024.0,2024-02-01,,3,12,"Adicionalmente, el CF considera que actualmente hay múltiples propuestas y medidas que generan importantes contingencias fiscales, más allá del ámbito de las leyes reseñadas. Por ejemplo, en el ámbito subnacional, el CF manifiesta su preocupación respecto a la reciente operación de endeudamiento sin garantía del Gobierno Nacional realizada por la Municipalidad Metropolitana de Lima (MML) por un monto de S/ 1 205 millones a un plazo de 20 años y con una tasa de 10.1% anual, como parte de un plan de endeudamiento total al parecer de S/ 4 mil millones. Al respecto, las medidas adoptadas y anunciadas por la MML estarían llevando a dicha entidad a una peligrosa situación de sobreendeudamiento en la que sus pasivos representarían casi 4,5 veces sus ingresos corrientes. Además, esta medida compromete la disponibilidad de recursos futuros de la MML puesto que la operación de endeudamiento tiene respaldo en un fideicomiso de titulización conformado con los ingresos provenientes de la alcabala y del impuesto al patrimonio vehicular, lo cual podría generar una situación de desequilibrios presupuestales para las siguientes cinco administraciones municipales. Asimismo, el relativamente alto costo financiero de esta operación implica una mayor presión hacia la rentabilidad de los proyectos que se piensan financiar.",5,1.0
Comunicado-012024-RiesgosFiscales-v4-1.pdf,2024.0,2024-02-01,,3,13,"Cabe resaltar que el marco legal que autoriza la operación de endeudamiento de la MML se basa en que dicho gobierno subnacional cuenta con dos calificaciones crediticias superiores a BBB+, que le permiten: (i) estar exceptuada del cumplimiento de las reglas fiscales subnacionales y sus medidas correctivas, y (ii) realizar operaciones de endeudamiento sin garantía del Gobierno Nacional por encima de los S/ 15 millones. Al respecto, el CF desde 2016, año en que se expidió el Decreto Legislativo N 1275, ha opinado en múltiples oportunidades que no es adecuado establecer excepciones que permitan tomar mayor endeudamiento en función únicamente de calificaciones crediticias, principalmente porque dichas calificaciones generalmente suponen que el Gobierno Nacional actuará como garante (implícito) en situaciones de limitada capacidad de pago de la entidad subnacional evaluada. La fuerte dispersión en calificaciones crediticias asignadas a la MML, además, sugiere un grado no menor de subjetividad en la asignación de las mismas. En ese sentido, es necesario plantear los mecanismos correctivos correspondientes.",4,0.8
Comunicado-012024-RiesgosFiscales-v4-1.pdf,2024.0,2024-02-01,,4,15,"Adicionalmente, en cuanto a la situación de Petroperú y los anuncios de autoridades del Poder Ejecutivo que señalan que se vienen evaluando esquemas de apoyo financiero, el CF reitera su preocupación por el continuo deterioro de la situación financiera de la empresa estatal y considera que el riesgo para las finanzas públicas radica en la magnitud de las necesidades financieras de Petroperú y en que las actuales dificultades persistan en el tiempo. El CF advierte que nuevas medidas de apoyo financiero a Petroperú conllevarían implicancias fiscales relevantes, pudiendo reducir la disponibilidad de recursos líquidos del gobierno o presionar hacia mayores niveles de endeudamiento público. En ese sentido, el CF reitera la importancia de que se tomen las medidas correctivas correspondientes para que la gestión de Petroperú se rija de manera efectiva bajo criterios de transparencia y buen gobierno corporativo.",4,0.8
Comunicado-012024-RiesgosFiscales-v4-1.pdf,2024.0,2024-02-01,,1,2,"El CF observa que en 2023 se habría registrado un desvío considerable, pese a múltiples alertas de este Consejo, en la senda de consolidación fiscal establecida en la Ley N 31541 puesto que se estima un déficit fiscal de 2,8 por ciento del PBI que superaría el límite de la regla (de excepción) del déficit fiscal, de 2,4 por ciento del PBI. En consecuencia, el CF advierte que el cumplir con la regla de déficit fiscal en 2024, de 2,0 por ciento del PBI, requerirá de un significativo esfuerzo de consolidación fiscal.",4,0.8
Comunicado-012024-RiesgosFiscales-v4-1.pdf,2024.0,2024-02-01,,4,16,"Finalmente, el CF recuerda que la sostenibilidad fiscal es una condición necesaria para mantener la estabilidad macroeconómica que conlleva múltiples beneficios para la economía. Entre tales beneficios se encuentran el reducir los pagos de intereses y reasignar el gasto público hacia a una mayor provisión de servicios esenciales para los ciudadanos, reducir los costos de financiamiento para el sector privado, y generar ahorros fiscales que permitan implementar políticas fiscales contracíclicas y acciones de prevención antes eventos inesperados (climáticos o desastres naturales), entre otros.",3,0.6
Comunicado-012024-RiesgosFiscales-v4-1.pdf,2024.0,2024-02-01,,1,1,"El Consejo Fiscal, con el objeto de contribuir con la gestión transparente y responsable de la política fiscal, a través de un análisis técnico e independiente, considera oportuno alertar sobre un conjunto de riesgos que deben ser abordados por las autoridades fiscales en el corto y mediano plazo, para mitigar su potencial impacto en la credibilidad y sostenibilidad fiscales del país.",2,0.4
