title,doc_type,doc_id,year,date,page,paragraph_id,text
Comunicado N° 01-2024-CF – El Consejo Fiscal alerta sobre la necesidad de tomar medidas para mitigar los factores que pueden afectar la sostenibilidad fiscal,Comunicado,01,2024,01/02/2024,1,3,"El CF considera que incumplir la regla fiscal genera un problema de credibilidad de la política fiscal, elemento esencial para atraer la inversión privada y favorecer la estabilidad macroeconómica. Para que la credibilidad de la política fiscal no se vea afectada, es necesario que las autoridades económicas establezcan, en el menor plazo posible, las medidas correctivas necesarias para asegurar la senda de cumplimiento de las metas fiscales en 2024 y en los años sucesivos. Para el CF, estas medidas deberían estar orientadas a incrementar los ingresos -en particular los permanentes-, controlar el crecimiento del gasto público -especialmente el gasto menos flexible- y reducir la exposición de las finanzas públicas a riesgos fiscales."
Comunicado N° 01-2024-CF – El Consejo Fiscal alerta sobre la necesidad de tomar medidas para mitigar los factores que pueden afectar la sostenibilidad fiscal,Comunicado,01,2024,01/02/2024,1,1,"El Consejo Fiscal, con el objeto de contribuir con la gestión transparente y responsable de la política fiscal, a través de un análisis técnico e independiente, considera oportuno alertar sobre un conjunto de riesgos que deben ser abordados por las autoridades fiscales en el corto y mediano plazo, para mitigar su potencial impacto en la credibilidad y sostenibilidad fiscales del país."
Comunicado N° 01-2024-CF – El Consejo Fiscal alerta sobre la necesidad de tomar medidas para mitigar los factores que pueden afectar la sostenibilidad fiscal,Comunicado,01,2024,01/02/2024,1,5,"En el caso de las medidas tributarias, el CF observa que la Ley N° 31969 que tiene por objetivo brindar una serie de beneficios tributarios a un conjunto de sectores económicos , afecta negativamente a la recaudación fiscal y se contrapone con los lineamientos de política tributaria expresados en el MMM 2024-2027. Estos lineamientos establecen que los beneficios tributarios deben racionalizarse pues generan menor recaudación fiscal e incrementan las posibilidades de elusión y evasión tributaria . Adicionalmente, a juicio del CF, los beneficios tributarios generados bajo la Ley N° 31969 no cuentan con sustento técnico preciso, generan precedentes para brindar"
Comunicado N° 01-2024-CF – El Consejo Fiscal alerta sobre la necesidad de tomar medidas para mitigar los factores que pueden afectar la sostenibilidad fiscal,Comunicado,01,2024,01/02/2024,2,6,un trato diferenciado a otros sectores económicos y ocasionan un costo fiscal al Estado al dificultar una mayor recaudación.
Comunicado N° 01-2024-CF – El Consejo Fiscal alerta sobre la necesidad de tomar medidas para mitigar los factores que pueden afectar la sostenibilidad fiscal,Comunicado,01,2024,01/02/2024,2,7,"Por el lado de los gastos, el CF considera que hay un significativo riesgo fiscal con el aumento del presupuesto en el rubro “Personal y Obligaciones Sociales” previsto en la ley de presupuesto público del ejercicio fiscal 2024 (Ley N° 31953), el cual no guarda consistencia con las proyecciones del Marco Macroeconómico Multianual 2024-2027. En efecto, como el CF alertó anteriormente , dicho incremento, de aproximadamente S/ 10 mil millones , es similar al incremento del gasto no financiero total previsto en el MMM. Considerando que en este rubro en particular la variación interanual en el Presupuesto Institucional de Apertura suele ser buen predictor del incremento del gasto en remuneraciones ejecutado, el CF considera que este aumento previsto en la ley de presupuesto constituye un riesgo para el cumplimiento de la regla fiscal en el corto plazo , y por su naturaleza permanente, para futuros ejercicios fiscales. Para gestionar mejor esta clase de riesgos, el CF recomienda, en el futuro, minimizar las discrepancias entre el presupuesto y el MMM incorporando en las proyecciones de este último documento información de los compromisos presupuestales firmes identificados en la etapa de programación y formulación presupuestal, además del respeto del presupuesto al tope establecido en el MMM con visión de mediano plazo."
Comunicado N° 01-2024-CF – El Consejo Fiscal alerta sobre la necesidad de tomar medidas para mitigar los factores que pueden afectar la sostenibilidad fiscal,Comunicado,01,2024,01/02/2024,2,8,"Adicionalmente, el CF reitera que persisten presiones de gasto que pueden generar desequilibrios fiscales y que provienen de iniciativas legislativas impulsadas principalmente por el Congreso de la República , a pesar de que el parlamento no cuenta con iniciativa de gasto, tal como expresamente señala la Constitución peruana . Cabe recordar que la Dirección de Estudios Macrofiscales de la Secretaría Técnica del Consejo Fiscal identificó que las leyes aprobadas mediante insistencia por parte del Congreso se han triplicado en los últimos años y que muchas de ellas generan incrementos en el gasto público ."
Comunicado N° 01-2024-CF – El Consejo Fiscal alerta sobre la necesidad de tomar medidas para mitigar los factores que pueden afectar la sostenibilidad fiscal,Comunicado,01,2024,01/02/2024,2,9,"Un ejemplo de las presiones antes mencionadas lo constituye la Ley N° 31729, Ley que actualiza el Bono de Reconocimiento a los aportantes y ex-aportantes de la ONP, que fue aprobada por insistencia. Esta norma, sobre la cual el Poder Ejecutivo ha presentado una demanda de inconstitucionalidad, tendría, de acuerdo con la propia demanda, un costo fiscal de aproximadamente 4 p.p. del PBI. Ante ello el CF observa que la aplicación de la ley generaría mayores presiones fiscales sobre el Tesoro Público, por la reducción en los aportes del SNP y el incremento de la deuda derivada de los bonos de reconocimiento que se emitan."
Comunicado N° 01-2024-CF – El Consejo Fiscal alerta sobre la necesidad de tomar medidas para mitigar los factores que pueden afectar la sostenibilidad fiscal,Comunicado,01,2024,01/02/2024,2,10,"De modo similar, en la actualidad se vienen discutiendo en el parlamento las distintas propuestas de reforma del sistema previsional, con iniciativas del propio Congreso de la República y una del Poder Ejecutivo, propuestas que reconocen que se generarán costos fiscales significativos. Al respecto, el CF observa que la mayor parte de las propuestas que se vienen discutiendo no"
Comunicado N° 01-2024-CF – El Consejo Fiscal alerta sobre la necesidad de tomar medidas para mitigar los factores que pueden afectar la sostenibilidad fiscal,Comunicado,01,2024,01/02/2024,3,11,"presentan un estudio actuarial ni cálculos detallados de dichos costos, y que los identificados podrían estar siendo subestimados de manera significativa. Por ejemplo, en el caso de la propuesta del Poder Ejecutivo, para la medida sobre la ampliación del pilar no contributivo solo presenta los costos para un horizonte de 10 años, cuando para este tipo de propuestas se requieren análisis a horizontes muy largos (hasta de 100 años) y adicionalmente, proyecta beneficios en términos nominales, lo cual es improbable que se sostengan en horizontes largos como son los de reformas pensionarias."
Comunicado N° 01-2024-CF – El Consejo Fiscal alerta sobre la necesidad de tomar medidas para mitigar los factores que pueden afectar la sostenibilidad fiscal,Comunicado,01,2024,01/02/2024,3,12,"Adicionalmente, el CF considera que actualmente hay múltiples propuestas y medidas que generan importantes contingencias fiscales, más allá del ámbito de las leyes reseñadas. Por ejemplo, en el ámbito subnacional, el CF manifiesta su preocupación respecto a la reciente operación de endeudamiento sin garantía del Gobierno Nacional realizada por la Municipalidad Metropolitana de Lima (MML) por un monto de S/ 1 205 millones a un plazo de 20 años y con una tasa de 10.1% anual, como parte de un plan de endeudamiento total al parecer de S/ 4 mil millones . Al respecto, las medidas adoptadas y anunciadas por la MML estarían llevando a dicha entidad a una peligrosa situación de sobreendeudamiento en la que sus pasivos representarían casi 4,5 veces sus ingresos corrientes . Además, esta medida compromete la disponibilidad de recursos futuros de la MML puesto que la operación de endeudamiento tiene respaldo en un fideicomiso de titulización conformado con los ingresos provenientes de la alcabala y del impuesto al patrimonio vehicular, lo cual podría generar una situación de desequilibrios presupuestales para las siguientes cinco administraciones municipales. Asimismo, el relativamente alto costo financiero de esta operación implica una mayor presión hacia la rentabilidad de los proyectos que se piensan financiar."
