title,doc_type,doc_id,year,date,page,paragraph_id,text,fiscal_risk_score,risk_index
Informe N° 04-2025-CF – Opinión del Consejo Fiscal sobre el proyecto de Marco Macroeconómico Multianual 2026-2029,Informe,4.0,2025,2025-08-29,1,66,"El CF alerta que, producto de la ausencia de medidas de control del gasto público, para 2025 existen altas probabilidades de que se incumplan las reglas fiscales que limitan el déficit fiscal, el gasto no financiero y el gasto corriente excluyendo mantenimiento.",4,0.8
Informe N° 04-2025-CF – Opinión del Consejo Fiscal sobre el proyecto de Marco Macroeconómico Multianual 2026-2029,Informe,4.0,2025,2025-08-29,1,68,"El CF advierte que la senda de proyección del gasto público prevista en el MMM traslada el esfuerzo de consolidación fiscal al siguiente gobierno, lo cual genera un problema de inconsistencia temporal que resta credibilidad a las metas fiscales de mediano plazo.",4,0.8
Informe N° 04-2025-CF – Opinión del Consejo Fiscal sobre el proyecto de Marco Macroeconómico Multianual 2026-2029,Informe,4.0,2025,2025-08-29,2,69,"El CF considera que, en ausencia de medidas correctivas, es poco probable el cumplimiento de las reglas fiscales a partir de 2026. Por ello, reitera su exhortación a adoptar medidas concretas para: (i) contener presiones por mayor gasto público y beneficios tributarios sin sustento, y (ii) promover la generación de mayores ingresos permanentes. El CF reitera que el incumplimiento recurrente de las metas fiscales deterioraría la calificación crediticia del país, afectando tanto el costo de financiamiento del sector público como el del sector privado, además de influir negativamente en los flujos de inversión.",4,0.8
Informe N° 04-2025-CF – Opinión del Consejo Fiscal sobre el proyecto de Marco Macroeconómico Multianual 2026-2029,Informe,4.0,2025,2025-08-29,2,74,"El CF identifica un conjunto de riesgos fiscales que no se evalúan exhaustivamente en el MMM, los cuales podrían afectar sus proyecciones: (i) el deterioro progresivo y pronunciado del contexto económico global; (ii) el uso de proyecciones optimistas para la formulación presupuestal que posteriormente no se materialicen; (iii) la aprobación de iniciativas legislativas que generen mayor gasto público o que limiten la capacidad recaudatoria; (iv) la situación financiera negativa de Petroperú; y (v) las presiones de gasto que se derivarían de la ejecución simultánea de grandes proyectos de infraestructura con un importante componente de cofinanciamiento estatal que excedan el espacio fiscal disponible. Considerando que la capacidad de gestionar la mayoría de tales riesgos recae sobre las autoridades del Poder Legislativo y del Poder Ejecutivo, el CF insta a incorporar criterios de responsabilidad fiscal en sus decisiones a fin de no menoscabar la sostenibilidad fiscal del país.",4,0.8
Informe N° 04-2025-CF – Opinión del Consejo Fiscal sobre el proyecto de Marco Macroeconómico Multianual 2026-2029,Informe,4.0,2025,2025-08-29,7,23,"Sobre la actividad económica local, el CF considera que la proyección de crecimiento de 3,5% para 2025 presenta un sesgo optimista, pese al buen desempeño de la economía en Entre las leyes aprobadas por el Congreso, destaca también  su impacto  la Ley N 32392, que propone la creación de Zonas Económicas Especiales de Turismo. Según estimaciones del MEF, esta norma tendría un costo fiscal de al menos S/ 2 011 millones anuales; sin embargo, fue aprobada sin oposición técnica por parte del MEF ni observación del Poder Ejecutivo. Esta falta de coherencia entre las declaraciones oficiales y las decisiones adoptadas debilita la credibilidad de la política fiscal y pone en entredicho el compromiso con una consolidación fiscal responsable. el primer semestre del año. Esta apreciación se sustenta en la previsión de una progresiva normalización del gasto privado durante el segundo semestre del año, tras el agotamiento de los factores extraordinarios que lo impulsaron desde el tercer trimestre del año pasado hasta el primer semestre de 2025. Adicionalmente, cabe destacar que, en el cuarto trimestre de 2024, la demanda privada creció 8,0%, lo que genera un efecto base negativo para el cierre de este año. Dado este contexto, a juicio del CF, resultará retador alcanzar el crecimiento económico previsto en el MMM para el segundo semestre (al menos 3,6%).",4,0.8
Informe N° 04-2025-CF – Opinión del Consejo Fiscal sobre el proyecto de Marco Macroeconómico Multianual 2026-2029,Informe,4.0,2025,2025-08-29,9,3,"El CF exhorta a que en la versión final del MMM se incluya una sección que presente las proyecciones trimestrales de los principales agregados macrofiscales para el año en curso, las cuales no se han incluido en la versión enviada al CF. Esta información resulta necesaria no solo para evaluar la consistencia interna de las proyecciones fiscales, sino también para realizar un seguimiento adecuado de cara al cumplimiento de las reglas fiscales, sirviendo como un sistema de alerta temprana.",2,0.4
Informe N° 04-2025-CF – Opinión del Consejo Fiscal sobre el proyecto de Marco Macroeconómico Multianual 2026-2029,Informe,4.0,2025,2025-08-29,9,4,"En un contexto en el que el crecimiento potencial de la economía ha mostrado una desaceleración sostenida, el CF reitera que alcanzar tasas de crecimiento superiores a 3% en el mediano plazo será desafiante, especialmente en el escenario externo actual de alta incertidumbre. Para lograr dicho objetivo, resulta imprescindible asegurar condiciones que permitan una ejecución oportuna de las inversiones  mineras como no , así como diseñar e implementar una estrategia económica integral orientada a elevar la productividad, fortalecer la competitividad y reducir las vulnerabilidades estructurales de la economía. No obstante, el CF vuelve a exhortar que tales acciones deben evitar la generación de compromisos fiscales que pongan en riesgo la sostenibilidad de las finanzas públicas. Mantener esta prudencia fiscal contribuiría a reforzar la consistencia entre las proyecciones macroeconómicas y los principios de sostenibilidad fiscal, permitiendo una gestión más eficiente de los riesgos, un uso más realista y responsable de los recursos públicos disponibles, y un mejor entorno para la inversión privada.",2,0.4
Informe N° 04-2025-CF – Opinión del Consejo Fiscal sobre el proyecto de Marco Macroeconómico Multianual 2026-2029,Informe,4.0,2025,2025-08-29,12,25,"Ante este contexto, el CF reitera su exhortación a evitar la creación de tratamientos tributarios preferenciales, los cuales no solo erosionan la base tributaria, sino que también aumentan la complejidad e ineficiencia del sistema tributario. Por ello, se insta al Poder Ejecutivo a adoptar una postura más firme y coherente frente a estas iniciativas, a fin de evitar la proliferación de beneficios carentes de un sustento técnico adecuado. En este sentido, el CF enfatiza que la aprobación de exoneraciones y beneficios tributarios debe regirse por las reglas establecidas en la Norma VII del Código Tributario, entre las cuales se incluye: “… el análisis cuantitativo del costo fiscal estimado de la medida, especificando el ingreso alternativo respecto de los ingresos que se dejarán de percibir a fin de no generar déficit presupuestario, y el beneficio económico sustentado por medio de estudios y documentación que demuestren que la medida adoptada resulta la más idónea para el logro de los objetivos propuestos”.",4,0.8
Informe N° 04-2025-CF – Opinión del Consejo Fiscal sobre el proyecto de Marco Macroeconómico Multianual 2026-2029,Informe,4.0,2025,2025-08-29,12,27,"Más aún, la materialización de cualquier presión adicional sobre la senda de gasto planteada en el MMM podría derivar en una nueva postergación del proceso de consolidación fiscal. Por ello, el CF reitera que resulta indispensable establecer un control riguroso y planificado de la trayectoria del gasto público, con el compromiso de todos los actores involucrados en la formulación, aprobación y ejecución presupuestaria. En ese sentido, resulta urgente contener la aprobación de leyes del Congreso de la República que generan mayor gasto público, pese a la prohibición constitucional al respecto.",4,0.8
Informe N° 04-2025-CF – Opinión del Consejo Fiscal sobre el proyecto de Marco Macroeconómico Multianual 2026-2029,Informe,4.0,2025,2025-08-29,12,45,"Sobre la proyección del gasto público para 2025, el CF advierte que, para alcanzar las metas del MMM, el GNFGG deberá contraerse en 5,4% real en lo que resta del año, o limitarlo a un crecimiento de solo 0,1% real excluyendo el efecto del aporte de capital a Petroperú del año pasado, lo que implicaría una marcada desaceleración respecto al crecimiento de 5,9% real registrado a julio. Si bien todos los rubros del GNFGG deberían desacelerarse, el ajuste más exigente recaería en remuneraciones, bienes y servicios, y formación bruta de capital. En este contexto, el CF reitera que, en ausencia de medidas concretas que garanticen la desaceleración del gasto público, no será posible cumplir con las proyecciones de GNFGG previstas en el MMM para 2025. En ese sentido, el CF alerta que, en el presente ejercicio fiscal, existe una alta probabilidad de incumplir las reglas fiscales que limitan el crecimiento del gasto dado y el déficit fiscal. Muestra de ello es que según las proyecciones del MMM, tales agregados fiscales se ubicarían prácticamente en el límite permitido por las respectivas reglas fiscales.",4,0.8
